	tweet_content
52	"Connecticut is known as the Land of Steady Habits, except when it comes to party control of the governorship. In general, the state is reliably blue, voting for the Democrat in every presidential election since 1992, and polls suggest that it’s all-Democratic congressional delegation will stay that way after Election Day. Read more
In the Fifth District, Jahana Hayes, a political newcomer, is favored to become the first black Democrat to represent the state in Congress.
But the governorship, which switched party hands in 2010, is up for grabs again. With the deeply unpopular Democratic incumbent, Gov. Dannel Malloy, declining to run again, Ned Lamont, a Democrat and familiar figure from his past bids for governor and senator, faces a competitive challenge from Bob Stefanowski, a Republican business executive. Complicating the race is an independent candidate, Oz Griebel, who appeared in some polls to be attracting enough support to potentially affect the outcome."
53	"The Golden State has battlegrounds aplenty in the midterms, and if the Democrats are to achieve their goal of gaining control of the House, they will need to prevail in many of them. Read more
At the top of the ticket, Gavin Newsom won the race to replace Governor Jerry Brown. The Democrat, who is the state’s Lieutenant Governor, defeated his Republican opponent, John Cox, without difficulty. With a comfortable lead, Mr. Newsom has been able to devote some time to campaigning for other Democrats in more difficult races where victories could help his party reshape Washington.
As always, results trickle in slowly from the West Coast, but Devin Nunes, chairman of the House intelligence committee, has retained his seat in the 22nd district."
54	"Unlike most Southern states, Arkansas has not been a bastion of absolute Republican power for more than a decade. But Election Day results could easily set it on that course. Read more
Gov. Asa Hutchinson, a Republican who was elected four years ago to succeed a well-liked Democratic governor, is seeking a second term. He has far outpaced his Democratic opponent, Jared Henderson, in fund-raising, and a recent poll showed Mr. Hutchinson leading by 36 percentage points."
55	A 12-member commission would be created to approve boundary maps for state legislative districts. The measure would also establish requirements for the maps and for who can serve on the commission, including restrictions on prior and current elected officials.
56	"Arizona is home to one of the most closely eyed midterm battles this cycle: the race to fill the seat of a retiring Republican, Senator Jeff Flake. Read more
Two of the state’s representatives — Martha McSally, the hawkish President Trump ally, and Kyrsten Sinema, an activist-turned-moderate — are duking it out in a tight and vicious battle to claim the title of the state’s first female senator.
But there are other important elections on the ballot for Arizonans. Gov. Doug Ducey, the Republican former chief executive of Cold Stone Creamery, holds the upper hand against David Garcia, a Democrat and professor at Arizona State University, who has made education a central issue of his campaign. Mr. Ducey, on the other hand, is running on a platform of jobs and border security, and in recent months has more closely aligned himself with Mr. Trump."
57	"State Senator Craig Brandt won the 40th District State Senate race in New Mexico on Tuesday. Brandt is up by 11 points with all precincts reporting.
View other New Mexico election results on our full New Mexico results page."
58	"Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware District of Columbia Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington West Virginia Wisconsin Wyoming
The data for the results on this site are reported by the Associated Press through the week of Nov. 8, 2016. Presidential results are updated as of Feb. 2017."
59	"Credit... The New York Times Archives
April 30, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 30, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
60	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
LONDON, Tuesday, April 30. -- The Times in a leading article this morning discusses the legal liabilities of the White Star Company in connection with the loss of the Titanic. It says: View Full Article in Timesmachine »"
61	"Credit... The New York Times Archives
April 30, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 30, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
62	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
BALTIMORE, April 29. -- Gov. Woodrow Wilson of New Jersey, in an address this afternoon at Towson, the county seat of Baltimore County, said that the country was turning slowly to Socialism because the voters have despaired of getting what they want from either Republicans or Democrats. View Full Article in Timesmachine »"
